class_overlap,ece_cal,ece_improvement,ece_raw,env_burst,filename,label_noise,macro_f1,model,seed,stress_score,temperature,macro_f1_processed,ece_raw_log,ece_cal_log,temperature_winsorized
0.8,0.0032077154517173765,60.60546404672914,0.008142538994550705,0.2,paperA_cnn_hard_s2_cla0p8_env0p2_lab0p0.json,0.0,0.9688630575157715,cnn,2,1.0,1.1575579643249512,0.9688630575157715,0.00810956738473507,0.003202581707970924,1.1575579643249512
0.8,0.006992225805918376,6.410397339858955,0.007471156631906827,0.2,paperA_cnn_hard_s2_cla0p8_env0p2_lab0p05.json,0.05,0.9686429019240487,cnn,2,1.05,1.0330482721328735,0.9686429019240487,0.007443385775699065,0.006967893553614156,1.0330482721328735
0.8,0.009932132790486018,4.658931361584535,0.010417475839455922,0.2,paperA_cnn_hard_s2_cla0p8_env0p2_lab0p1.json,0.1,0.9584842916632934,cnn,2,1.1,1.1575579643249512,0.9584842916632934,0.010363587866027656,0.00988313333852113,1.1575579643249512
0.0,0.0,100.0,3.3020973205566406e-05,0.0,paperA_cnn_hard_s3_cla0p0_env0p0_lab0p0.json,0.0,1.0,cnn,3,0.0,0.5303247570991516,1.0,3.302042802523224e-05,0.0,0.5303247570991516
0.0,0.0,100.0,1.609325408935547e-05,0.0,paperA_cnn_hard_s3_cla0p0_env0p0_lab0p05.json,0.05,1.0,cnn,3,0.05,0.6092630624771118,1.0,1.6093124594331207e-05,0.0,0.6092630624771118
0.0,1.1920928955078125e-06,0.0,1.1920928955078125e-06,0.0,paperA_cnn_hard_s3_cla0p0_env0p0_lab0p1.json,0.1,1.0,cnn,3,0.1,1.0,1.0,1.1920921849656415e-06,1.1920921849656415e-06,1.0
0.0,0.0,100.0,0.0001474618911743164,0.1,paperA_cnn_hard_s3_cla0p0_env0p1_lab0p0.json,0.0,1.0,cnn,3,0.1,0.45398470759391785,1.0,0.00014745101973837727,0.0,0.45398470759391785
0.0,0.0,100.0,0.00015085935592651367,0.1,paperA_cnn_hard_s3_cla0p0_env0p1_lab0p05.json,0.05,1.0,cnn,3,0.15000000000000002,0.4413548707962036,1.0,0.0001508479777981954,0.0,0.4413548707962036
0.0,0.0,100.0,3.653764724731445e-05,0.1,paperA_cnn_hard_s3_cla0p0_env0p1_lab0p1.json,0.1,1.0,cnn,3,0.2,0.45220810174942017,1.0,3.653697976374007e-05,0.0,0.45220810174942017
0.0,1.7881393432617188e-07,99.85111662531018,0.00012010335922241211,0.2,paperA_cnn_hard_s3_cla0p0_env0p2_lab0p0.json,0.0,1.0,cnn,3,0.2,0.43667078018188477,1.0,0.0001200961473914015,1.7881391833896223e-07,0.43667078018188477
0.0,0.0,100.0,6.979703903198242e-05,0.2,paperA_cnn_hard_s3_cla0p0_env0p2_lab0p05.json,0.05,1.0,cnn,3,0.25,0.35174480080604553,1.0,6.979460333198938e-05,0.0,0.39800581037998195
0.0,0.0,100.0,0.00011289119720458984,0.2,paperA_cnn_hard_s3_cla0p0_env0p2_lab0p1.json,0.1,1.0,cnn,3,0.30000000000000004,0.45197105407714844,1.0,0.0001128848254729238,0.0,0.45197105407714844
0.4,0.008964969833691916,54.981608160334375,0.019914016177256903,0.0,paperA_cnn_hard_s3_cla0p4_env0p0_lab0p0.json,0.0,0.924482918298833,cnn,3,0.4,1.2154123783111572,0.924482918298833,0.01971832587748056,0.008925023061852793,1.2154123783111572
