filename,label_noise,macro_f1,model,noise_category
paperA_bilstm_hard_s4_cla0p0_env0p1_lab0p1.json,0.1,0.9993303919104741,bilstm,10%
paperA_bilstm_hard_s4_cla0p0_env0p2_lab0p0.json,0.0,0.9996519631978837,bilstm,0%
paperA_bilstm_hard_s4_cla0p0_env0p2_lab0p05.json,0.05,1.0,bilstm,5%
paperA_bilstm_hard_s4_cla0p0_env0p2_lab0p1.json,0.1,1.0,bilstm,10%
paperA_bilstm_hard_s4_cla0p4_env0p0_lab0p0.json,0.0,0.9280948227963475,bilstm,0%
paperA_bilstm_hard_s4_cla0p4_env0p0_lab0p05.json,0.05,0.9316661680165743,bilstm,5%
paperA_bilstm_hard_s4_cla0p4_env0p0_lab0p1.json,0.1,0.9314591528602991,bilstm,10%
paperA_bilstm_hard_s4_cla0p4_env0p1_lab0p0.json,0.0,0.9281090083326176,bilstm,0%
paperA_bilstm_hard_s4_cla0p4_env0p1_lab0p05.json,0.05,0.9316536392285013,bilstm,5%
paperA_bilstm_hard_s4_cla0p4_env0p1_lab0p1.json,0.1,0.9246462950146987,bilstm,10%
paperA_bilstm_hard_s4_cla0p4_env0p2_lab0p0.json,0.0,0.9565727807600605,bilstm,0%
paperA_bilstm_hard_s4_cla0p4_env0p2_lab0p05.json,0.05,0.935384866183775,bilstm,5%
paperA_bilstm_hard_s4_cla0p4_env0p2_lab0p1.json,0.1,0.9342026628758047,bilstm,10%
paperA_bilstm_hard_s4_cla0p8_env0p0_lab0p0.json,0.0,0.6914393178094015,bilstm,0%
paperA_bilstm_hard_s4_cla0p8_env0p0_lab0p05.json,0.05,0.7062661275002664,bilstm,5%
paperA_bilstm_hard_s4_cla0p8_env0p0_lab0p1.json,0.1,0.7061663381001284,bilstm,10%
paperA_bilstm_hard_s4_cla0p8_env0p1_lab0p0.json,0.0,0.9154016863694792,bilstm,0%
paperA_bilstm_hard_s4_cla0p8_env0p1_lab0p05.json,0.05,0.9165949671212206,bilstm,5%
paperA_bilstm_hard_s4_cla0p8_env0p1_lab0p1.json,0.1,0.6779132051675254,bilstm,10%
paperA_bilstm_hard_s4_cla0p8_env0p2_lab0p0.json,0.0,0.9601693558646632,bilstm,0%
paperA_bilstm_hard_s4_cla0p8_env0p2_lab0p05.json,0.05,0.9545115533373416,bilstm,5%
paperA_bilstm_hard_s4_cla0p8_env0p2_lab0p1.json,0.1,0.95568769596568,bilstm,10%
paperA_cnn_hard_s0_cla0p0_env0p0_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s0_cla0p0_env0p0_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s0_cla0p0_env0p0_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s0_cla0p0_env0p1_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s0_cla0p0_env0p1_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s0_cla0p0_env0p1_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s0_cla0p0_env0p2_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s0_cla0p0_env0p2_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s0_cla0p0_env0p2_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s0_cla0p4_env0p0_lab0p0.json,0.0,0.9248574848646733,cnn,0%
paperA_cnn_hard_s0_cla0p4_env0p0_lab0p05.json,0.05,0.9265826971643156,cnn,5%
paperA_cnn_hard_s0_cla0p4_env0p0_lab0p1.json,0.1,0.9301896145885256,cnn,10%
paperA_cnn_hard_s0_cla0p4_env0p1_lab0p0.json,0.0,0.9788044955072377,cnn,0%
paperA_cnn_hard_s0_cla0p4_env0p1_lab0p05.json,0.05,0.985059303882327,cnn,5%
paperA_cnn_hard_s0_cla0p4_env0p1_lab0p1.json,0.1,0.9877116362366256,cnn,10%
paperA_cnn_hard_s0_cla0p4_env0p2_lab0p0.json,0.0,0.9900117806587265,cnn,0%
paperA_cnn_hard_s0_cla0p4_env0p2_lab0p05.json,0.05,0.9895939765893573,cnn,5%
paperA_cnn_hard_s0_cla0p4_env0p2_lab0p1.json,0.1,0.9922161536358706,cnn,10%
paperA_cnn_hard_s0_cla0p8_env0p0_lab0p0.json,0.0,0.7109839892243769,cnn,0%
paperA_cnn_hard_s0_cla0p8_env0p0_lab0p05.json,0.05,0.7223772748297822,cnn,5%
